Top queries,Clicks,Impressions,CTR,Position
agrello,5853,10158,57.62%,1.2
käsundusleping,590,15892,3.71%,6.69
käsundusleping maksud,518,2604,19.89%,4.68
agrello oü,314,772,40.67%,1.13
litsentsileping,179,946,18.92%,2.2
mis on käsundusleping,134,878,15.26%,3.81
teenuse osutamise leping,106,1541,6.88%,3.57
pades,85,32591,0.26%,6.95
krediidileping,70,293,23.89%,1.2
frantsiisileping,66,399,16.54%,2.4
käsunduslepingu maksud,57,467,12.21%,5.55
asice to pdf,52,2285,2.28%,9.79
agrello software,51,158,32.28%,1.01
töölepingu seadus 2025,46,973,4.73%,5.6
töölepingu näidis,40,2443,1.64%,6.07
käsundusleping kes maksab maksud,36,234,15.38%,5.9
töövõtuleping näidis,34,1131,3.01%,3.04
uue töölepingu näidis,33,492,6.71%,4.13
asic to pdf,32,360,8.89%,5.38
pdf to asice,31,644,4.81%,5.26
töölepingu põhi,28,453,6.18%,5.88
pades signature,27,2881,0.94%,6.78
asic container,27,763,3.54%,3.97
tööleping näidis,21,1052,2%,6.13
darba līguma paraugs 2025,20,79,25.32%,3.24
digitaalne allkirjastamine,18,4822,0.37%,6.68
asic-e,18,1113,1.62%,6.08
töölepingu lõpetamine katseajal näidis,18,1095,1.64%,2.28
toomas pihl,18,183,9.84%,3.95
lepingu koostamine,17,741,2.29%,4.66
digitaalselt allkirjastatud dokumendi näidis,17,593,2.87%,1.15
dokumendi allkirjastamine,16,845,1.89%,5.81
digiallkirjastamine,15,2449,0.61%,12.4
sop full form,15,769,1.95%,2.02
darba līgums paraugs 2025,15,112,13.39%,3.77
asic signature,14,227,6.17%,2.78
töölepingu seaduse muudatused 2025,13,208,6.25%,7.67
uus töölepingu seadus 2025,13,130,10%,7.06
pades digital signature,12,470,2.55%,5.3
liisinguleping,12,251,4.78%,4.13
agrello crypto,12,183,6.56%,3.05
pdf to asice converter,12,152,7.89%,6.69
dokumentide allkirjastamine,11,288,3.82%,5.17
töölepingu blankett,11,273,4.03%,6.99
dokumendi digiallkirjastamine,10,1662,0.6%,8.92
allkirjastamine,10,1498,0.67%,6.42
smart id allkirjastamine telefonis,10,727,1.38%,6.49
käsundusleping что это,10,368,2.72%,10.84
digiallkirjastamine telefonis,9,1279,0.7%,12.65
digitaalselt allkirjastatud,9,1059,0.85%,2.16
what is digital persona,9,597,1.51%,5.86
töölepingu näidis 2025,9,471,1.91%,8.87
digiallkirjastamine veebis,9,298,3.02%,7.92
töölepingu seaduse muudatused 2026,9,46,19.57%,4.39
asic format,8,409,1.96%,2.83
võõrandamisleping,8,73,10.96%,2
smart id allkirjastamine,7,2524,0.28%,8.13
digidoc allkirjastamine,7,1004,0.7%,9.79
diia.signature,7,231,3.03%,4.69
lepingupõhi,7,190,3.68%,1.36
asice format to pdf,7,152,4.61%,8.09
käsundusleping puhkus,7,109,6.42%,6.8
harry käsk,7,33,21.21%,1.79
asice file,6,3560,0.17%,9.78
tööleping,6,2469,0.24%,14.52
müügileping,6,857,0.7%,14.44
pades format,6,678,0.88%,5.81
pades pdf,6,376,1.6%,9.23
lepingu näidis,6,329,1.82%,2.72
can chatgpt write contracts,6,200,3%,7.38
parakstīt dokumentu ar smart id,5,1105,0.45%,11.82
agrello dlt,5,745,0.67%,8.28
darba līgums,5,463,1.08%,14.17
mobiil id allkirjastamine,5,349,1.43%,7.08
chatgpt contract,5,226,2.21%,9.06
agrello coin,5,125,4%,7.24
komandējuma rīkojums,5,96,5.21%,5.82
käsundusleping maksud 2025,5,55,9.09%,3.6
digiallkirjastamine smart id,4,1735,0.23%,8.79
digital persona,4,1041,0.38%,52.46
edoc latvia,4,658,0.61%,7.8
tähtajaline tööleping näidis,4,604,0.66%,7.03
what is a digital persona,4,401,1%,4.61
dokumendihaldus,4,401,1%,14.62
chatgpt for contracts,4,391,1.02%,15.28
allkirjasta digitaalselt,4,356,1.12%,6.37
töölepingu sõlmimine,4,202,1.98%,12.86
how to use chatgpt to write standard operating procedures,4,155,2.58%,3.75
pdf.asice,4,145,2.76%,6.64
teenuse leping,4,121,3.31%,6.95
tööseadus 2025,4,118,3.39%,6.75
diia signature,4,111,3.6%,5.23
allkirjastatud digitaalselt,3,2471,0.12%,16.85
asice format,3,1915,0.16%,6.9
digitālā identitāte,3,414,0.72%,21.91
signing contract without understanding,3,361,0.83%,6.02
asic e,3,359,0.84%,5.67
asice file to pdf,3,324,0.93%,9.12
rendileping,3,311,0.96%,25.19
asic-e format,3,284,1.06%,5.38
create sop with ai,3,271,1.11%,7.61
what is pades,3,231,1.3%,2.77
using ai to write standard operating procedures,3,219,1.37%,7.58
european digital identity timeline,3,164,1.83%,4.49
.asice to pdf,3,159,1.89%,8.82
chatgpt legal assistant,3,141,2.13%,3.4
sop organization,3,109,2.75%,14.07
can chatgpt write a contract,3,76,3.95%,2.91
asic pdf,3,70,4.29%,12.47
elektrooniline allkiri,3,69,4.35%,7.3
how to use chatgpt to review contracts,3,40,7.5%,7.25
agrelo,3,37,8.11%,37.95
convert pdf to asice,3,35,8.57%,6.86
käsunduslepingu maksustamine,3,10,30%,2.7
digital person,2,3964,0.05%,4.12
paperless office strategy,2,3743,0.05%,13.93
